Herb,English,Scientific,Yoruba,Hausa,Igbo,Category,Active_Compounds,Interaction_Class,Safety_Caution
Bitter Leaf,Bitter Leaf,Vernonia amygdalina,Ewuro,Shuwaka,Onugbu,Medicinal Leaf,"Vernodalin; Vernolide; Flavonoids",Antidiabetic,"May lower blood glucose; use cautiously with diabetes medicines."
Neem Leaf,Neem Leaf,Azadirachta indica,Ewe Dongoyaro,Ganyen Darbejiya,Akwukwo Dogoyaro,Medicinal Leaf,"Azadirachtin; Nimbin; Quercetin",Antidiabetic,"Avoid excessive oral use during pregnancy; may enhance blood glucose lowering."
Moringa,Moringa,Moringa oleifera,Ewe ile,Zogale,Okwe oyibo,Medicinal Leaf,"Quercetin; Chlorogenic acid; Isothiocyanates","Antihypertensive; Antidiabetic","May contribute to additional blood pressure or blood glucose lowering."
Scent Leaf,African Basil,Ocimum gratissimum,Efinrin,Daidoya,Nchuanwu,Medicinal Leaf,"Eugenol; Thymol; Rosmarinic acid",Antimicrobial,"Avoid excessive medicinal doses during pregnancy unless advised by a healthcare professional."
Utazi,Bushbuck,Gongronema latifolium,Utazi,Daghata,Utazi,Medicinal Leaf,"Saponins; Flavonoids; Alkaloids",Antidiabetic,"May reduce blood sugar; monitor carefully if taking diabetes medication."
Uziza,West African Pepper,Piper guineense,Uziza,Mpampa,Uziza,Medicinal Leaf,"Piperine; Essential oils",NSAID,"Excessive intake may irritate the stomach and digestive tract."
Aidan Fruit,Aidan Fruit,Tetrapleura tetraptera,Aidan,Dawo,Osakirisa,Medicinal Spice,"Saponins; Tannins; Flavonoids",General,"Use moderately during pregnancy and avoid excessive consumption."
African Ginger,African Ginger,Afrostyrax lepidophyllus,Olum,Enen nsun,Otete,Medicinal Plant,"Sulfur compounds; Essential oils",NSAID,"Large amounts may cause stomach irritation in sensitive individuals."
Turmeric,Turmeric,Curcuma longa,Ata ile,Gangamau,Baasa,Medicinal Rhizome,"Curcumin; Demethoxycurcumin",NSAID,"High medicinal doses may increase bleeding risk when combined with NSAID medicines."
Ginger,Ginger,Zingiber officinale,Atale,Citta,Jinja,Medicinal Rhizome,"Gingerols; Shogaols",NSAID,"Large medicinal doses may increase bleeding tendency and cause heartburn in some people."
Garlic,Garlic,Allium sativum,Ayu,Tafarnuwa,Ayo,Medicinal Bulb,"Allicin; Diallyl sulfides",NSAID,"High medicinal doses may increase bleeding risk when combined with blood-thinning or NSAID medicines."
Guava Leaf,Guava Leaf,Psidium guajava,Goba,Ganyen Goba,Gova,Medicinal Leaf,"Quercetin; Tannins; Catechins",Antidiabetic,"Avoid excessive medicinal intake; may affect blood sugar control."
Lemongrass,Lemongrass,Cymbopogon citratus,Ewe tii,Ciyawar shayi,Achara,Medicinal Grass,"Citral; Geraniol; Myrcene",Antihypertensive,"Large medicinal doses may lower blood pressure and cause dizziness."
Hibiscus,Hibiscus,Hibiscus sabdariffa,Isapa,Zobo,Awai,Medicinal Flower,"Anthocyanins; Hibiscus acid",Antihypertensive,"May further reduce blood pressure when combined with antihypertensive medicines."
Aloe Vera,Aloe Vera,Aloe barbadensis,Ahon erin,Sabara,Taba nkiuta,Medicinal Plant,"Aloin; Aloe-emodin",Antidiabetic,"Excess oral use may lower blood glucose and cause diarrhoea, dehydration, and electrolyte imbalance."
Pawpaw Leaf,Pawpaw Leaf,Carica papaya,Ewe Ibepe,Ganyen Gwanda,Akwukwo pawpaw,Medicinal Leaf,"Papain; Flavonoids; Alkaloids",Pregnancy,"Avoid concentrated preparations during pregnancy and use cautiously in large amounts."
African Black Pepper,African Black Pepper,Piper guineense,Ata iyere,Masoro,Uziza,Medicinal Spice,"Piperine; Essential oils",NSAID,"Excessive intake may irritate the stomach and increase digestive discomfort."
Bitter Kola,Bitter Kola,Garcinia kola,Orogbo,Goron biri,Aki ilu,Medicinal Seed,"Kolaviron; Garcinia biflavonoids",Antidiabetic,"Excessive consumption may cause stomach irritation and should be used moderately."
Clove,Clove,Syzygium aromaticum,Kanafuru,Kninfari,Osaragbogho eze,Medicinal Spice,"Eugenol; Caryophyllene",NSAID,"Highly concentrated clove oil should not be swallowed and may increase bleeding tendency."
Cinnamon,Cinnamon,Cinnamomum verum,Dalchini,Dar chini,Oji,Medicinal Bark,"Cinnamaldehyde; Eugenol",Antidiabetic,"High medicinal doses may affect the liver and may enhance blood glucose lowering."
Eucalyptus,Eucalyptus,Eucalyptus globulus,Ewe Eucalyptus,Bishiyar Turare,Akwukwo Eucalyptus,Medicinal Leaf,"Eucalyptol; Cineole",Respiratory,"Eucalyptus oil should never be ingested; use only as directed."
Sweet Wormwood,Sweet Wormwood,Artemisia annua,Ewe Mujoso,Tazargade,Akwukwo mujoso,Medicinal Leaf,"Artemisinin; artemisinic acid; flavonoids; sesquiterpenes",Antimalarial,"Artemisia plant preparations are not standardized and should not be treated as equivalent to quality-assured artemisinin-based medicines."
