Drug_Class,Herb,Risk,Evidence
Antidiabetic,Moringa,Moderate,"May enhance the blood glucose-lowering effect of antidiabetic medicines; monitor for hypoglycaemia."
Antidiabetic,Neem Leaf,Moderate,"Neem leaf may contribute to additional blood glucose reduction when combined with diabetes medicines."
Antidiabetic,Bitter Leaf,Moderate,"Bitter leaf may lower blood glucose and should be used cautiously alongside antidiabetic medicines."
Antidiabetic,Guava Leaf,Moderate,"Guava leaf may influence blood glucose control; monitor carefully with diabetes medicines."
Antidiabetic,Aloe Vera,Moderate,"Oral Aloe Vera may enhance glucose-lowering effects and increase hypoglycaemia risk."
Antidiabetic,Cinnamon,Moderate,"Cinnamon may enhance insulin sensitivity and blood glucose reduction."
Antihypertensive,Moringa,Moderate,"Moringa may contribute to additional blood pressure lowering when combined with antihypertensive medicines."
Antihypertensive,Lemongrass,Moderate,"Large medicinal doses of lemongrass may reduce blood pressure and increase dizziness."
Antihypertensive,Hibiscus,Moderate,"Hibiscus may further lower blood pressure when used with antihypertensive medicines."
NSAID,Garlic,High,"High medicinal doses of garlic may increase bleeding risk when combined with NSAID medicines."
NSAID,Ginger,Moderate,"Large medicinal doses of ginger may increase bleeding tendency when used with NSAIDs."
NSAID,Turmeric,Moderate,"High doses of turmeric may increase bleeding risk with NSAID medicines."
NSAID,Clove,Moderate,"Concentrated clove preparations may increase bleeding tendency alongside NSAIDs."
Prescription,African Wormwood,Moderate,"Evidence for specific interactions is limited; prolonged high-dose use should be discussed with a healthcare professional."
Respiratory,Eucalyptus,Low,"Eucalyptus oil should not be ingested; use only as directed with respiratory medicines."
Pregnancy,Pawpaw Leaf,High,"Concentrated pawpaw leaf preparations should be avoided during pregnancy."
General,Aidan Fruit,Low,"Use moderately during pregnancy and avoid excessive medicinal consumption."
General,Prekese,Low,"Use moderately and avoid excessive medicinal doses during pregnancy."
General,Scent Leaf,Low,"Avoid excessive medicinal doses during pregnancy unless advised by a healthcare professional."
NSAID,African Black Pepper,Moderate,"Excessive intake may increase stomach irritation when combined with NSAID medicines."
NSAID,Uziza,Moderate,"Large medicinal intake may increase digestive irritation alongside NSAID medicines."
Antidiabetic,Utazi,Moderate,"Utazi may reduce blood glucose and should be monitored with diabetes medicines."
Antidiabetic,Bitter Kola,Low,"Use moderately, particularly in individuals receiving diabetes treatment."
NSAID,African Ginger,Moderate,"Large medicinal doses may contribute to gastrointestinal irritation with NSAID medicines."
