Medicine,Ingredient,Category,Warning
Panadol,Paracetamol,Pain Relief,Avoid duplicate paracetamol products
Emzor Paracetamol,Paracetamol,Pain Relief,Avoid duplicate paracetamol products
Boska,Paracetamol,Pain Relief,Avoid duplicate paracetamol products
M&B Paracetamol,Paracetamol,Pain Relief,Avoid duplicate paracetamol products
Calpol,Paracetamol,Pain Relief,Check age-appropriate dosage
Efferalgan,Paracetamol,Pain Relief,Avoid duplicate paracetamol products
Paracetamol 500mg,Paracetamol,Pain Relief,Avoid duplicate paracetamol products
Paracetamol Extra,Paracetamol,Pain Relief,Check total daily paracetamol intake
Paracetamol Suspension,Paracetamol,Pain Relief,Check age-appropriate dosage
Paracetamol Caplets,Paracetamol,Pain Relief,Avoid duplicate paracetamol products
Ibuprofen,Ibuprofen,NSAID,Take only as directed
Brufen,Ibuprofen,NSAID,Take only as directed
Nurofen,Ibuprofen,NSAID,Take only as directed
Diclofenac,Diclofenac,NSAID,May irritate the stomach
Voltaren,Diclofenac,NSAID,May irritate the stomach
Ponstan,Mefenamic Acid,NSAID,Take only as directed
Naproxen,Naproxen,NSAID,Take only as directed
Aspirin,Aspirin,NSAID,Use cautiously with bleeding or ulcer risks
Indocid,Indomethacin,NSAID,May cause gastrointestinal irritation
Piroxicam,Piroxicam,NSAID,Use only as directed
Celecoxib,Celecoxib,NSAID,Use only as directed
Ketoprofen,Ketoprofen,NSAID,Use only as directed
Meloxicam,Meloxicam,NSAID,Use only as directed
Procold,Paracetamol + Chlorpheniramine,Cold and Flu,Check total paracetamol intake
Mixagrip,Paracetamol + Phenylephrine + Chlorpheniramine,Cold and Flu,Check total paracetamol intake
Actifed,Triprolidine + Pseudoephedrine,Cold and Flu,May cause drowsiness
Benylin,Dextromethorphan,Cold and Flu,May cause drowsiness
Tuxil-D,Dextromethorphan + Diphenhydramine,Cold and Flu,May cause drowsiness
Decolgen,Paracetamol + Phenylephrine + Chlorpheniramine,Cold and Flu,Check total paracetamol intake
Amatem,Artemether + Lumefantrine,Antimalarial,Complete prescribed course
Lonart,Artemether + Lumefantrine,Antimalarial,Complete prescribed course
Coartem,Artemether + Lumefantrine,Antimalarial,Complete prescribed course
P-Alaxin,Dihydroartemisinin + Piperaquine,Antimalarial,Complete prescribed course
Maldox,Sulfadoxine + Pyrimethamine,Antimalarial,Use only as directed
Artemether Injection,Artemether,Antimalarial,Administer only under appropriate medical supervision
Quinine,Quinine,Antimalarial,Use only as directed
Chloroquine,Chloroquine,Antimalarial,Use only as directed
Fansidar,Sulfadoxine + Pyrimethamine,Antimalarial,Use only as directed
